SpeciesName,Megaclass,Superclass,Class,Subclass,Infraclass,Megacohort,Supercohort,Cohort,Subcohort,Infracohort,Section,Subsection,Division,Subdivision,Series,Subseries,Superorder,Order,Suborder,Infraorder,Family,Genus
Rhinecanthus_rectangulus,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata,Acanthomorphata,Acanthopterygii,Percomorphaceae,Eupercaria,,,Tetraodontiformes,Balistoidei,,Balistidae,Rhinecanthus
Cantherhines_dumerilii,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata,Acanthomorphata,Acanthopterygii,Percomorphaceae,Eupercaria,,,Tetraodontiformes,Balistoidei,,Balistidae,Cantherhines
Canthidermis_maculata,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata,Acanthomorphata,Acanthopterygii,Percomorphaceae,Eupercaria,,,Tetraodontiformes,Balistoidei,,Balistidae,Canthidermis
Barbourisia_rufa,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata,Acanthomorphata,Acanthopterygii,Berycimorphaceae,,,,Beryciformes,Stephanoberycoidei,,Barbourisiidae,Barbourisia
Gadomus_aoteanus,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata,Acanthomorphata,Paracanthopterygii,,Zeiogadaria,Gadariae,,Gadiformes,,,Bathygadidae,Gadomus
Gadomus_colletti,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata,Acanthomorphata,Paracanthopterygii,,Zeiogadaria,Gadariae,,Gadiformes,,,Bathygadidae,Gadomus
Melanolagus_bericoides,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Protacanthopterygii,,,,,,,,,Argentiniformes,,,Bathylagidae,Melanolagus
Bathylagichthys_parini,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Protacanthopterygii,,,,,,,,,Argentiniformes,,,Bathylagidae,Bathylagichthys
Bathylagus_tenuis,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Protacanthopterygii,,,,,,,,,Argentiniformes,,,Bathylagidae,Bathylagus
Bathysaurus_ferox,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Cyclosquamata,,,,,,,Aulopiformes,Alepisauroidei,,Bathysauridae,Bathysaurus
Bathysauropsis_gracilis,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Cyclosquamata,,,,,,,Aulopiformes,Alepisauroidei,,Bathysauropsidae,Bathysauropsis
Platybelone_argalus,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata,Acanthomorphata,Acanthopterygii,Percomorphaceae,Ovalentaria,,Atherinomorphae,Beloniformes,Belonoidei,,Belonidae,Platybelone
Ablennes_hians,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata,Acanthomorphata,Acanthopterygii,Percomorphaceae,Ovalentaria,,Atherinomorphae,Beloniformes,Belonoidei,,Belonidae,Ablennes
Beryx_decadactylus,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata,Acanthomorphata,Acanthopterygii,Berycimorphaceae,,,,Beryciformes,Berycoidei,,Berycidae,Beryx
Beryx_splendens,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata,Acanthomorphata,Acanthopterygii,Berycimorphaceae,,,,Beryciformes,Berycoidei,,Berycidae,Beryx
Centroberyx_affinis,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata,Acanthomorphata,Acanthopterygii,Berycimorphaceae,,,,Beryciformes,Berycoidei,,Berycidae,Centroberyx
Cirripectes_castaneus,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata,Acanthomorphata,Acanthopterygii,Percomorphaceae,Ovalentaria,,Blenniimorphae,Blenniiformes,,,Blenniidae,Cirripectes
Plagiotremus_tapeinosoma,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata,Acanthomorphata,Acanthopterygii,Percomorphaceae,Ovalentaria,,Blenniimorphae,Blenniiformes,,,Blenniidae,Plagiotremus
Ecsenius_bicolor,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata,Acanthomorphata,Acanthopterygii,Percomorphaceae,Ovalentaria,,Blenniimorphae,Blenniiformes,,,Blenniidae,Ecsenius
Entomacrodus_caudofasciatus,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata,Acanthomorphata,Acanthopterygii,Percomorphaceae,Ovalentaria,,Blenniimorphae,Blenniiformes,,,Blenniidae,Entomacrodus
Entomacrodus_niuafoouensis,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata,Acanthomorphata,Acanthopterygii,Percomorphaceae,Ovalentaria,,Blenniimorphae,Blenniiformes,,,Blenniidae,Entomacrodus
Entomacrodus_cymatobiotus,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata,Acanthomorphata,Acanthopterygii,Percomorphaceae,Ovalentaria,,Blenniimorphae,Blenniiformes,,,Blenniidae,Entomacrodus
Omobranchus_anolius,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata,Acanthomorphata,Acanthopterygii,Percomorphaceae,Ovalentaria,,Blenniimorphae,Blenniiformes,,,Blenniidae,Omobranchus
Asterorhombus_filifer,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata,Acanthomorphata,Acanthopterygii,Percomorphaceae,Carangaria,,,Pleuronectiformes,Pleuronectoidei,,Bothidae,Asterorhombus
Arnoglossus_scapha,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata,Acanthomorphata,Acanthopterygii,Percomorphaceae,Carangaria,,,Pleuronectiformes,Pleuronectoidei,,Bothidae,Arnoglossus
Chascanopsetta_lugubris,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata,Acanthomorphata,Acanthopterygii,Percomorphaceae,Carangaria,,,Pleuronectiformes,Pleuronectoidei,,Bothidae,Chascanopsetta
Bothus_mancus,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata,Acanthomorphata,Acanthopterygii,Percomorphaceae,Carangaria,,,Pleuronectiformes,Pleuronectoidei,,Bothidae,Bothus
Bovichtus_variegatus,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata,Acanthomorphata,Acanthopterygii,Percomorphaceae,Eupercaria,,,Perciformes,Notothenioidei,,Bovichtidae,Bovichtus
Pteraclis_velifera,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata,Acanthomorphata,Acanthopterygii,Percomorphaceae,Pelagiaria,,,Scombriformes,,,Bramidae,Pteraclis
Taractes_asper,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata,Acanthomorphata,Acanthopterygii,Percomorphaceae,Pelagiaria,,,Scombriformes,,,Bramidae,Taractes
Taractichthys_longipinnis,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata,Acanthomorphata,Acanthopterygii,Percomorphaceae,Pelagiaria,,,Scombriformes,,,Bramidae,Taractichthys
Pterycombus_petersii,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata,Acanthomorphata,Acanthopterygii,Percomorphaceae,Pelagiaria,,,Scombriformes,,,Bramidae,Pterycombus
Brama_brama,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata,Acanthomorphata,Acanthopterygii,Percomorphaceae,Pelagiaria,,,Scombriformes,,,Bramidae,Brama
Xenobrama_microlepis,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata,Acanthomorphata,Acanthopterygii,Percomorphaceae,Pelagiaria,,,Scombriformes,,,Bramidae,Xenobrama
Brama_australis,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata,Acanthomorphata,Acanthopterygii,Percomorphaceae,Pelagiaria,,,Scombriformes,,,Bramidae,Brama
Cataetyx_sp,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata,Acanthomorphata,Acanthopterygii,Percomorphaceae,Ophidiaria,,,Ophidiiformes,Bythitoidei,,Bythitidae,Cataetyx
Tuamotuichthys_schwarzhansi,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata,Acanthomorphata,Acanthopterygii,Percomorphaceae,Ophidiaria,,,Ophidiiformes,Bythitoidei,,Bythitidae,Tuamotuichthys
Cataetyx_niki,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata,Acanthomorphata,Acanthopterygii,Percomorphaceae,Ophidiaria,,,Ophidiiformes,Bythitoidei,,Bythitidae,Cataetyx
Cataetyx_chthamalorhynchus,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata,Acanthomorphata,Acanthopterygii,Percomorphaceae,Ophidiaria,,,Ophidiiformes,Bythitoidei,,Bythitidae,Cataetyx
Aphyonus_gelatinosus,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata,Acanthomorphata,Acanthopterygii,Percomorphaceae,Ophidiaria,,,Ophidiiformes,Bythitoidei,,Bythitidae,Aphyonus
Sciadonus_galatheae,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata,Acanthomorphata,Acanthopterygii,Percomorphaceae,Ophidiaria,,,Ophidiiformes,Bythitoidei,,Bythitidae,Sciadonus
Callanthias_australis,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata,Acanthomorphata,Acanthopterygii,Percomorphaceae,Eupercaria,,,Incertae sedis in Eupercaria,,,Callanthiidae,Callanthias
Foetorepus_phasis,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata,Acanthomorphata,Acanthopterygii,Percomorphaceae,Syngnatharia,,,Syngnathiformes,Callionymoidei,,Callionymidae,Foetorepus
Foetorepus_calauropomus,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata,Acanthomorphata,Acanthopterygii,Percomorphaceae,Syngnatharia,,,Syngnathiformes,Callionymoidei,,Callionymidae,Foetorepus
Trachurus_declivis,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata,Acanthomorphata,Acanthopterygii,Percomorphaceae,Carangaria,,,Carangiformes,,,Carangidae,Trachurus
Trachurus_murphyi,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata,Acanthomorphata,Acanthopterygii,Percomorphaceae,Carangaria,,,Carangiformes,,,Carangidae,Trachurus
Pseudocaranx_georgianus,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata,Acanthomorphata,Acanthopterygii,Percomorphaceae,Carangaria,,,Carangiformes,,,Carangidae,Pseudocaranx
Trachurus_novaezelandiae,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata,Acanthomorphata,Acanthopterygii,Percomorphaceae,Carangaria,,,Carangiformes,,,Carangidae,Trachurus
Seriola_hippos,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata,Acanthomorphata,Acanthopterygii,Percomorphaceae,Carangaria,,,Carangiformes,,,Carangidae,Seriola
Seriola_rivoliana,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata,Acanthomorphata,Acanthopterygii,Percomorphaceae,Carangaria,,,Carangiformes,,,Carangidae,Seriola
Seriola_lalandi,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata,Acanthomorphata,Acanthopterygii,Percomorphaceae,Carangaria,,,Carangiformes,,,Carangidae,Seriola
Decapterus_muroadsi,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata,Acanthomorphata,Acanthopterygii,Percomorphaceae,Carangaria,,,Carangiformes,,,Carangidae,Decapterus
Elagatis_bipinnulata,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata,Acanthomorphata,Acanthopterygii,Percomorphaceae,Carangaria,,,Carangiformes,,,Carangidae,Elagatis
Naucrates_ductor,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata,Acanthomorphata,Acanthopterygii,Percomorphaceae,Carangaria,,,Carangiformes,,,Carangidae,Naucrates
Seriola_dumerili,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata,Acanthomorphata,Acanthopterygii,Percomorphaceae,Carangaria,,,Carangiformes,,,Carangidae,Seriola
Pyramodon_punctatus,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata,Acanthomorphata,Acanthopterygii,Percomorphaceae,Ophidiaria,,,Ophidiiformes,Ophidioidei,,Ophidiidae,Pyramodon
Echiodon_cryomargarites,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata,Acanthomorphata,Acanthopterygii,Percomorphaceae,Ophidiaria,,,Ophidiiformes,Ophidioidei,,Ophidiidae,Echiodon
