Level_Hierarchy	Constraint_Name	Group_Name	Previous_hierarchy	Status_previous_Hierarchy	MonophylyCorrected	Monophyletic_Constraint	PresenceDNATree	Comments
Subdivision	Percomorphaceae	Percomorphaceae	Carangaria	Series	Monophyletic	Yes	DNA_Tree	
Subdivision	Percomorphaceae	Percomorphaceae	Ovalentaria	Series	Monophyletic	Yes	DNA_Tree	
Subdivision	Percomorphaceae	Percomorphaceae	Eupercaria	Series	Monophyletic	Yes	DNA_Tree	
Division	Acanthopterygii	Acanthopterygii	Trachichthyiformes	Order	Monophyletic	Yes	DNA_Tree	Previously called Euacanthomorphacea, in DeepFinV3.
Division	Acanthopterygii	Acanthopterygii	Beryciformes	Order	Monophyletic	Yes	DNA_Tree	Previously called Euacanthomorphacea, in DeepFinV3.
Division	Acanthopterygii	Acanthopterygii	Holocentriformes	Order	Monophyletic	Yes	DNA_Tree	Previously called Euacanthomorphacea, in DeepFinV3.
Division	Acanthopterygii	Acanthopterygii	Percomorphaceae	Subdivision	Monophyletic	Yes	DNA_Tree	Previously called Euacanthomorphacea, in DeepFinV3.
Subsection	Acanthomorphata	Acanthomorphata	Lampriformes	Order	Monophyletic	Yes	DNA_Tree	Also called Acanthomorpha Near et al. 2012. Near TJ, Eytan RI, Dornburg A, Kuhn KL, Moore JA, Davis MP, et al. Resolution of ray-finned fish phylogeny and timing of diversification. Proc Natl Acad Sci. 2012;109(34):13698–703.
Subsection	Acanthomorphata	Acanthomorphata	Zeiformes	Order	Monophyletic	Yes	DNA_Tree	Also called Acanthomorpha Near et al. 2012. Near TJ, Eytan RI, Dornburg A, Kuhn KL, Moore JA, Davis MP, et al. Resolution of ray-finned fish phylogeny and timing of diversification. Proc Natl Acad Sci. 2012;109(34):13698–703.
Subsection	Acanthomorphata	Acanthomorphata	Gadiformes	Order	Monophyletic	Yes	DNA_Tree	Also called Acanthomorpha Near et al. 2012. Near TJ, Eytan RI, Dornburg A, Kuhn KL, Moore JA, Davis MP, et al. Resolution of ray-finned fish phylogeny and timing of diversification. Proc Natl Acad Sci. 2012;109(34):13698–703.
Subsection	Acanthomorphata	Acanthomorphata	Polymixiiformes	Order	Monophyletic	Yes	DNA_Tree	Also called Acanthomorpha Near et al. 2012. Near TJ, Eytan RI, Dornburg A, Kuhn KL, Moore JA, Davis MP, et al. Resolution of ray-finned fish phylogeny and timing of diversification. Proc Natl Acad Sci. 2012;109(34):13698–703.
Subsection	Acanthomorphata	Acanthomorphata	Acanthopterygii	Division	Monophyletic	Yes	DNA_Tree	Also called Acanthomorpha Near et al. 2012. Near TJ, Eytan RI, Dornburg A, Kuhn KL, Moore JA, Davis MP, et al. Resolution of ray-finned fish phylogeny and timing of diversification. Proc Natl Acad Sci. 2012;109(34):13698–703.
Subcohort	Neoteleostei	Neoteleostei	Acanthomorphata	Subsection	Monophyletic	Yes	DNA_Tree	
Subcohort	Neoteleostei	Neoteleostei	Myctophiformes	Order	Monophyletic	Yes	DNA_Tree	
Subcohort	Neoteleostei	Neoteleostei	Aulopiformes	Order	Monophyletic	Yes	DNA_Tree	
Cohort	Otomorpha	Otomorpha	Clupeiformes	Order	Monophyletic	Yes	DNA_Tree	
Cohort	Otomorpha	Otomorpha	Alepocephaliformes	Order	Monophyletic	Yes	DNA_Tree	
Cohort	Otomorpha	Otomorpha	Gonorynchiformes	Order	Monophyletic	Yes	DNA_Tree	
Cohort	Elopomorpha	Elopomorpha	Notacanthiformes	Order	Monophyletic	Yes	DNA_Tree	
Cohort	Elopomorpha	Elopomorpha	Anguilliformes	Order	Monophyletic	Yes	DNA_Tree	
Supercohort	Clupeocephala	Clupeocephala	Otomorpha	Cohort	Monophyletic	Yes	DNA_Tree	
Supercohort	Clupeocephala	Clupeocephala	Argentiniformes	Order	Monophyletic	Yes	DNA_Tree	
Supercohort	Clupeocephala	Clupeocephala	Stomiatiformes	Order	Monophyletic	Yes	DNA_Tree	
Supercohort	Clupeocephala	Clupeocephala	Neoteleostei	Subcohort	Monophyletic	Yes	DNA_Tree	
Infraclass	Teleostei	Teleostei	Clupeocephala	Supercohort	Monophyletic	Yes	DNA_Tree	
Infraclass	Teleostei	Teleostei	Elopomorpha	Cohort	Monophyletic	Yes	DNA_Tree	
Infraclass	Holostei	Holostei	Amiiformes	Order	Monophyletic	Yes	DNA_Tree	
Infraclass	Holostei	Holostei	Lepisosteiformes	Order	Monophyletic	Yes	DNA_Tree	
Subclass	Neopterygii	Neopterygii	Holostei	Infraclass	Monophyletic	Yes	DNA_Tree	
Subclass	Neopterygii	Neopterygii	Teleostei	Infraclass	Monophyletic	Yes	DNA_Tree	
